Comment,Compound,Positive,Neutral,Negative
@Airbnb....this is your last chance! #Covid_19,0.3164,0.314,0.686,0.0
Pas mal les airbnb pour NY dit donc... x) ,0.0,0.0,1.0,0.0
Airbnb is going to emerge even stronger in what will be a different travel landscape because of @bchesky's leadership.,0.3818,0.133,0.867,0.0
DM ME RIGHT NOW HALF OFF AIRBNB,0.0,0.0,1.0,0.0
Airbnb when these homeowners call asking us what they should do for an income now ,0.0,0.0,1.0,0.0
Live now! Our travel influencer panel with some heavy hitters! @airbnb #blackbeyondborders #peculiartravel,0.0,0.0,1.0,0.0
"i aint forget when my friends were walking back to our airbnb &amp; a group of men were catcalling us. we werent in revealing clothes &amp; were walking in a group ofc. its impossible to avoid harassment no matter what ""precautions"" we were to abide. pretty clear to see whos the problem",0.017,0.187,0.642,0.17
 HARRYWEEN AIRBNB which color do we like ,0.3612,0.294,0.706,0.0
Omg poor Taylor she is acting UP at Camilles soon to be AirBnB,-0.4767,0.0,0.795,0.205
"NEW PRICE!! 1623 N College Ave Unit#1, Indianapolis, IN 46202: Looking for a great investment property? This condo has been a wonderful rental for my sellers and could also be a perfect AirBnB! NEW PRICE: $189,500!! See link in bio for more info! ",0.9283,0.26,0.74,0.0
"The city and county of Los Angeles have partnered with Airbnb to offer free housing for 1,000 frontline workers who are worried about staying with family amid the coronavirus pandemic ",0.2732,0.099,0.836,0.066
"(South African) TL asleep? Currently thinking about when I was seeing a man who, when I told him I want to move to the city but can’t decide on a neighbourhood, said he’d book me an AirBnB in a different neighbourhood every weekend until I found one I liked ",0.5927,0.111,0.889,0.0
"NSW Labor Senator Deb O’Neill caught out having guests at her coastal NSW Airbnb property this month. She claims all bookings have now have been cancelled, except for those by essential workers. So who decides who the essential workers are? #NSWpol",-0.25,0.0,0.952,0.048
This right here. Absolute confirmation of how short term property rentals decimate the housing mkt. There would surely be a nominal rental supply problem in Dublin if AirBnB-style short term house/apt rentals were disallowed. V easy step for next govt to take to improve housing ,0.7184,0.173,0.774,0.054
"LA County, in coordination with the City of LA, is partnering with @Airbnb to provide free housing to up to 1,000 frontline workers fighting the spread of #COVID19. Healthcare workers and first responders can book their stay at http://airbnb.com/covid19relief.",0.2023,0.077,0.864,0.058
"The path from literally $0 to Millie fairly quickly - Start some type of flip arbitrage (forums, grailed, etsy, Fb market place, etc etc) - Use profits to start working on a real Brand - Scale said Brand - Sell Brand - Invest in Property Airbnb Model - pce out",0.4404,0.065,0.935,0.0
"Yeah, we’re at an Airbnb in the Berkshires. I 100% saw a ghost.",-0.0258,0.163,0.667,0.17
"Check out this bite-sized interview I did earlier this week with the one and only @hunterwalk – about my decision to go paid with my newsletter, what life has been like post-Airbnb, and some fun stories ",0.7003,0.153,0.847,0.0
"After covering 30 miles on Day 1, Grierson halted on a plantation. This was no coincidence. Grierson LOVED to camp on a plantation, reveling in the slave-owners’ outrage as he took their food. To this day, his guest rating for Airbnb properties in the deep south is ABYSMAL.",0.0343,0.087,0.809,0.104
Thank you @Airbnb for the generous donation that will provide free places to stay for @CityOfNOLA first responders to safely self-isolate from their families while continuing to work the frontlines of the #COVID19 fight. https://ready.nola.gov/incident/coronavirus/providing-accommodations-for-frontline-responders/,0.8658,0.274,0.668,0.058
Airbnb reportedly lays off contractors and cancels summer internships – TechCrunch https://www.hitechauthority.com/airbnb-reportedly-lays-off-contractors-and-cancels-summer-internships-techcrunch/,-0.2263,0.0,0.84,0.16
AirBnB turned our homes into rental income. ,0.0,0.0,1.0,0.0
"when this quarantine shit over & I take a well needed/deserved break from being an essential employee, im getting an airbnb &amp; hosting a feast / 2000s vibe kickback w/ da homies bc I am EXHAUSTED",-0.694,0.058,0.751,0.19
"""Federal Labor senator Deborah O’Neill had paying guests staying in her oceanfront Airbnb listing during the strict coronavirus lockdown period."" https://www.dailytelegraph.com.au/news/nsw/senator-deborah-oneill-had-guests-in-her-holiday-house-during-lockdown/news-story/808f092e3f803e4bc220addc59d4929a #nswpol #auspol #COVID19idiot #qldpol #COVIDIOT #COVID19au",0.0,0.0,1.0,0.0
