Comment,Compound,Positive,Neutral,Negative
"@CapitalOne we the people would like to know the future of #JAMFest, especially with @NCAA’s announcement of no crowds for @marchmadness? We need to know if we need to fight for a refund from @Airbnb and travel plans or if everything is still a go. Thank you for your time. ",0.0516,0.093,0.818,0.089
Lecture classes about to be online cuz of corona. I hope my Airbnb in Hawaii has WiFi,0.4404,0.162,0.838,0.0
"Airbnb Will Give 10 People $100,000 to Build the Unique Home of Their Dreams — With Billy Porter's Help http://bit.ly/33c5H4a pic.twitter.com/hFAZUapvvU",0.6597,0.231,0.769,0.0
airbnb launches $1 million fund to finance world's most unique homes https://www.designboom.com/architecture/airbnb-1-million-fund-unique-homes-03-11-2020/ pic.twitter.com/rxlSw98baV,0.0,0.0,1.0,0.0
"Vancouver strata president busts illegal Airbnb by renting condo unit, owner fined over $46,000 https://www.straight.com/news/1371856/vancouver-strata-president-busts-illegal-airbnb-renting-condo-unit-owner-fined-over @mtnbvan @rohanarezel @Hutchyman @FIVRE604 @VanStreetDog #vanre #Airbnb #rental #Vancouver",-0.5574,0.0,0.865,0.135
Going to be really interesting when Freelancers who have gentrified end up working less than the locals and have more precarious rent situations since they are way higher with less protections that coupled with lack of Airbnb guests to prop it up going to be interesting,0.6542,0.147,0.808,0.044
Special thanks to @Airbnb for refunding me 1k back since my host refused to do so for me despite the fact that I'm not even allowed to enter their airport and would be quarantined for 14 days. Host was keeping my money... Fantastic customers service :D,0.9008,0.234,0.727,0.039
Me enjoying the AirBnB I paid $5 a night for ... use the discount code #CoronaVirus,0.5267,0.207,0.793,0.0
my airbnb just refunded me for the dates i booked cause of corona like dam ma is it that serious?,0.296,0.12,0.817,0.062
Hahaha - I hope airbnb hosts go fucking bust over this. It will be the one good outcome out of this situation. ,0.8555,0.356,0.644,0.0
"Airbnb hosts are being impacted by the karmavirus. There is a cure though, it's called the long term renter. Try it. #vanre ""Short-term rentals pinched by coronavirus fears"" https://www.theglobeandmail.com/real-estate/article-short-term-rentals-pinched-by-coronavirus-fears",-0.4215,0.0,0.906,0.094
"Can @Airbnb please explain how me being in quarantine after my recent travel to Northern Italy doesn’t fall under “extenuating circumstances” ... So, you want me to go through with my reservation and potentially infect the host/future guest? Highly unethical, do better.",0.3504,0.145,0.781,0.074
"oh nooooooo coronavirus, please don't financially ruin all the airbnb slumlords. anything but that",0.3991,0.235,0.765,0.0
"are Uber, Postmates, and Airbnb telling people to...WFH...take paid sick days...wait...uh what do we do about gig economy workers again? because if I'm not supposed to go to my office for a month, you probably shouldn't have strangers in your car or house",-0.5106,0.0,0.926,0.074
I hope every single airbnb host goes bankrupt because of pandemic. It's what this extra-vile class of landlords deserve. ,-0.1779,0.129,0.711,0.16
Geez what if virus containment measures break the back of the AirBNB economy and rental units start going back on the market ,0.0,0.0,1.0,0.0
Somebody is gonna make a big enough deal about this and Airbnb will end up eating those fees because now is not the time to be the big bad corporate wolf. ,-0.5423,0.0,0.892,0.108
My AirBNB in Atlanta says Southwest ATL. Polar Rock Terrace. Am I good or do I need to bring that thang w/ me? ,0.4404,0.127,0.873,0.0
Agreed. This was my AirBnB in Cape Town back in May last year in one of the affluent neighborhoods next to the coast with an amazing view of Lions Head. Very affordable. https://twitter.com/Trackmann/status/1237767229850234881,0.7096,0.16,0.84,0.0
Looks like @Airbnb giving everyone the middle finger No refunds? Class action lawsuit incoming. Cant believe they would burn hundreds of thousands of millennials that are going to support their company over the next decade. PR NIGHTMARE. #Stagecoach #Coachella2020 #Coachella,0.5423,0.163,0.749,0.088
Same here @Airbnb ,0.0,0.0,1.0,0.0
"Safely landed in Phoenix, got my rental for the next two and half weeks and made it to AirBnB. Well done Russell for adulting well. Time for a quick nap (to beat the jetlag) and then to go find some grub and some beers.",0.7506,0.156,0.844,0.0
i (jokingly) asked my airbnb host to leave me her dog and she........did ,-0.0516,0.0,0.902,0.098
Hey @Airbnb @AirbnbHelp the BIGGEST thank you to my wonderful customer service representative Isis! She has spent much time researching the best ways to help me with patience &amp; creativity. Please consider her for management! She needs to be training others! Let's RT y'all.,0.9576,0.332,0.668,0.0
