Comment,Compound,Positive,Neutral,Negative
"Airbnb's CEO compared the coronavirus crisis to Hurricane Maria, saying its business will bounce back, just as it did after the storm that ravaged Puerto Rico ",-0.6249,0.0,0.859,0.141
My brother is coming from Europe & he had to get an airbnb because my mama said we are not taking chances with visitors. What a time.,-0.1511,0.0,0.938,0.062
AirBnB Bubble ,0.0,0.0,1.0,0.0
(Article claims some AirBnB hosts have up to 10 mortgages #bubble) Did the Fed Just Accidentally Trigger a Housing Market Crash? https://www.ccn.com/did-the-fed-just-accidentally-trigger-a-housing-market-crash/ via @ccnmarkets,-0.6249,0.0,0.805,0.195
"4/4: to more than 50,000 @airbnb hosts who have volunteered to open their homes to support health care providers serving all of us on the front lines. ",0.7096,0.191,0.809,0.0
"I talked to an ER doctor at #DukeRegional in #Durham, NC last week that moved out of his house so that he won’t risk bringing #COVID19 home to his wife and three children. Moved into an #AirBnB and has zero contact with his family, but treats countless strangers all day long.",-0.1406,0.0,0.969,0.031
Airbnb says it will give $250 million to hosts on its platform who have lost money from coronavirus-related cancellations at their properties ,-0.3182,0.0,0.901,0.099
"When life doesn't give you lemons, sometimes you have to hop a fence, cross a rooftop, then another fence and pick all the lemons in the backyard of the neighborhood Airbnb (vacant until at least Sept, apparently). Then you make lemonade ",0.0,0.0,1.0,0.0
Airbnb to spend $250 million to partially refund hosts ,0.0,0.0,1.0,0.0
Airbnb will pay hosts $250 million to help cover cancellations due to COVID-19 by @meganrosedickey https://tcrn.ch/2UTTcGS,0.3182,0.149,0.773,0.077
"Airbnb extends coronavirus cancellation window to May 31, sets aside $250 million to pay hosts ",0.0258,0.094,0.818,0.088
"CAKE HuMom says us cats can't have any some BS about cats not allowed chocolate The AirBnb Host wanted HuDad to have a cake for his birthday even more then either HuParents knew, she is an amazing and kind human Thank you all for the birthday wishes to HuDad #TeamBob",0.8834,0.201,0.799,0.0
"Residents at a downtown Dallas apartment building say they're trying to shelter in place but others aren't - even hosting large parties in their building using AirBnB. We asked management, city &amp; AirBnB to respond. Watch @NBCDFW @5.",0.5499,0.092,0.908,0.0
Tune in for a message to our hosts from our CEO Brian Chesky today at 3PM PT at http://airbnb.com/live. He’ll answer top questions and discuss what we’re doing to support our host community.,0.5423,0.13,0.87,0.0
"Anyone can be a merchant. (@Amazon) Anyone can be a taxi driver. (@Uber) Anyone can be a journalist. (@Twitter) Anyone can be a movie director. (@YouTube) Anyone can be a hotel owner. (@Airbnb) Anyone can learn. (@Wikipedia) DEAR INTERNET, THANK YOU!",0.7819,0.168,0.832,0.0
The Airbnb complaints Facebook group just turned a corner ,-0.4019,0.0,0.722,0.278
Airbnb announces plan to offer free housing to coronavirus responders http://ctv.news/OZBiEnK #canhealth #cdnpoli,0.5106,0.216,0.784,0.0
"Vermont Gov. Phil Scott has ordered all lodging, including hotels, Airbnb and campgrounds, to suspend operations on Monday, CNN reports. This shit is getting out of hand!!",-0.6038,0.093,0.699,0.208
"There are nearly 14,000 full-apartment Airbnb listings in the city of Montreal, compared to over 3,100 people experiencing visible (street-level) homelessness, according to the last Homeless Count in 2018. The homes are there and they're empty. This is a public health emergency.",-0.5267,0.0,0.899,0.101
airbnb owner: how would you feel if you airbnb’d your home out to someone and they threw a party!!? me: lmao i would never airbnb my home him: *stares motherfuckedly*,0.6688,0.142,0.858,0.0
" #Airbnb is in such a bad spot, it even has ⁦@bchesky⁩ issue apologies &amp; promises of $$to hosts in a last ditch effort to hold on to quickly deserting high-volume ghost hotels operators. #COVID19",-0.4939,0.07,0.775,0.155
"Confronting sudden income loss, some Airbnb and other vacation rental hosts are working to accommodate the changing face of travel during coronavirus, even as Airbnb commits $250 million to cover losses faced by some hosts ",-0.6705,0.028,0.801,0.171
Airbnb has announced a $250 million Host Relief Fund to cover some costs of coronavirus cancellations https://cnn.it/2ymBHav,0.4767,0.171,0.829,0.0
3/4: @airbnb guests who have reservations made before 3/14 that begins anytime on or before May 31 can cancel their reservations and get a full refund or a travel credit if they are impacted by COVOD19 and can't travel. ,0.1531,0.066,0.884,0.051
2/4: We are creating a $10m Superhost Relief Fund for @airbnb Superhosts who rent out their own home &amp; need help paying their rent or mortgage. There are hosts who joined Airbnb to stay in their homes &amp; that Airbnb income has been their safety net. https://news.airbnb.com/a-letter-to-hosts/,0.8689,0.205,0.795,0.0
The Hospitals Are All Empty. Should Someone Airbnb Them?,-0.2023,0.0,0.816,0.184
"For cancelled check-ins that were slated for March 14 to May 31, Airbnb will pay hosts one-fourth of what they would have received through their cancellation policies. ",-0.34,0.0,0.88,0.12
Airbnb further extends refund window to May 31st and sets aside $250 million for hosts https://www.theverge.com/2020/3/30/21200430/airbnb-cancellation-policy-coronavirus-covid-may-31-pay-hosts?utm_campaign=theverge&amp;utm_content=chorus&amp;utm_medium=social&amp;utm_source=twitter,0.128,0.091,0.909,0.0
Airbnb pledges to cover some virus cancellation costs https://on.ft.com/2WVqyYv,0.0,0.0,1.0,0.0
"Airbnb will issue full refunds for trips starting on or before May 31 booked before March 14, will make a $250M fund to pay hosts 25% of regular cancelation fee (CNBC) https://www.cnbc.com/2020/03/30/airbnb-extends-coronavirus-cancellation-window-to-may-31-due-to-coronavirus.html",-0.1027,0.0,0.955,0.045
"And oh my god: ""Airbnb employees have donated to a $10 million fund that will go toward the company’s Superhosts and long-tenured Experience hosts."" If any of these employees gets downsized, that's gonna be some bad karma. ",-0.34,0.053,0.859,0.088
"Airbnb was said to have 2b in cash, so this is a lot of money for an unprofitable company to part with ",0.0,0.0,1.0,0.0
"Chesky responds to a question about whether Airbnb can survive. This is a ""once-in-a-century crisis."" ""We planned for many scenario but we did not plan for this."" But it will end, and ""We will bounce back.""",0.0,0.0,1.0,0.0
